,,,,,
"Порядок совершения хода: сначала админ(я) делает ход,я об этом сообщаю в чате. После этого игроки в любое время до 22:00  присылают В ЛИЧКУ свои ходы  о покупках и расстановке на трассы.  В первый день совершаются покупки во всех городах. Во второй день - расстановка на трассы и сама гонка. До совершения расстановки объявляется, будет дождь или нет. Если дождь будет, после расстановки тачек,становится известно, на какой трассе именно. Влияние осадков на тип шин указано рядом.   Управляемость и Проходимость не могут быть ниже 1. Если какая-то деталь снижает эти характеристики ниже единицы, она не может быть установлена. Если одна из этих характеристик становится меньше 1 из-за дождя, машина не может ехать и автоматически получает последнее место. Поэтому если ожидается дождь, следует обратить внимание на машины с низкими показателями П и У. Между игроками возможны обмен и торговля, но только в пределах одного города. Тачки нельзя перевозить из одного в другой  город, кроме тех, которые отправляются на Турнир. Те можно возвращать в любой город.. НАКАЗАНИЯ. Игрок сам должен следить за правильностью хода. Если он заново заказал деталь, которая уже установлена на автомобиле, а админ этого не заметил, при обнаружении кем-то ошибки игрока ожидает штраф 2000 и безвозмездно снимается лищняя деталь.   СОРЕВНОВАНИЯ. В первый день проходят городские состязания (CC), куда не допускаются автомобили с пометкой АВТОСПОРТ,где к каждой трассе своё требование и на каждую трассу выходит одна машина, деньги присуждаются за каждуый заезд, баллы - за общее положение по городу. Затем следует Национальное Соревнование (NT), где устанавливается требование сразу на три трассы, и Игрок получает балл с учётом всех трёх заездов. Затем следует Мировая Серия (WS) , состоящая из гонки за корону, бонусного заезда за призом и главной прибыльной гонкой, на которую можно отправить несколько своих машин из разных категорий мощности. (смотри ссылку правее)  То есть теоретически на эту гонку можно отправить 7 тачек в каждом городе. При получении короны в городских состязаниях не обязательно выполнять требования по выйгранной дисциплине и отправлять на этот вид гонок любую (кроме автоспорт)машину.НО! Участие стоит 1000. Все три гонки Мировой Серии проходят не одновременно, поэтому одну и ту же машину можно отправлять на все три заезда. ТУРНИРЫ  состоят из ралли и гонки чемпионов. проводятся периодически помимо основных матчей и только для автомобилей с пометкой АВТОСПОРТ . На них игрок может отправить одну из своих машин из любого города.  Этот турнир длится весь этап (3 матча), в это время машина в гараже не находится и в других гонках участие не принимает. Карта такого турнира делится на 3 участка, на каждом из которых свои индексы. Если в начале одна из машин отстаёт, возможно она опередит их на последующих. Всем участникам гарантированы денежные призы . Если машины приезжают одинаково, денежный приз делится за текущее и следующее место, а следующий игрок занимает 3 место. Например, участвовало 4 игрока, трое приехали одинаково, тогда они получат среднее между 1,2,3 местом, а 4 игрок - 4-ое. Баллы же всем троим присваиваются как за 1 место, 4-му - 4-ое. Система поддержки догоняющих: занимающий последнее место получает 10000 после окончания этапа. Игрок, занимающий 1место два и более этапов подряд, обязан выделить 4000 последнему и 2500 предпоследнему игроку.  КОРОЛИ. В игре есть титул короля 4-ёх дисциплин: дрэг, дрифт, слалом и мотокрос. Корону получает тот, кто победит  в WS в соответствующей гонке. Корона даёт право ставить на соответствующие дисциплины в чемпионате CC (и только тут)  любые машины,не взирая на условия. Корона переходит к другому игроку, если тот победит актуального короля на этой трассе в следующий раз. Цены на авто меняются таким образом: класс редкости 1 - минус 600 каждый этап, пока не достигнет половины начальной цены, класс 2 - минус 300 каждый этап, пока не достигнет половины начальной цены, класс 3 - цена не меняется, класс 4 - плюс 500, класс 5 - плюс 1000.    ",Влияние осадков,Влияние осадков,Влияние осадков,Влияние осадков,Влияние осадков
,Трассы,Универсальные Шины,Гоночные Шины,Внедорожные Шины,Слики
,Песок.Болото,"-10П -10У 0,5сек",-15П -20У 1сек,0,не едет
,Снег.   Лёд. Полигон,-15П -20У 1сек,"-20П -25У 1,5сек",0,не едет
,"Грунтовка, Мотокросс","-10П, -5У",-15П -10У,0,не едет
,"Сельская дорога, Лес",-5П,"-15У, -5П 0,5сек",-5У,"-30У-10П 1,5сек"
,Асфальт (все остальные трассы),0,-20У,"-15У , 1сек","-30У , 1 сек"
,,,,,
,,,,,
,Категории по мощности,,,,
,0-120 лс,,,,
,121-200 лс,,,,
,201-300 лс,,,,
,301-450 лс,,,,
,451-650 лс,,,,
,651-900 лс,,,,
,мощнее 900лс,,,,
,,,,,
,,,,,
,,"ПРИМЕЧАНИЕ: чтобы установить турбину или компрессор, сначала нужно обязательно установить интеркулер. Прирост скорости в фиксированных км/ч (а не впроцентах) плюсуется независимо от коэффициента машины. Прирост, указанный в процентах, зависит от кэффициента машины. Распредвал можно установить только один: Нижний, Верхний или Универсальный. Шины можно установить только одни: Слики, Гоночные, Универсальные, Внедорожные. Дифференциал можно установить только один -повышенного трения (ДИффПТ - акцент на Управляемости) и дифференциал СамоБлокирующийся (ДиффСБ - акцент на Проходимости)",,,
,,,,,
Награды,,,,,
"City Challenge  (деньги указаны- за каждую гонку, баллы - за общее по городу)",,,,,
"1- 3500,  6 баллов",,,,,
"2- 2700, 5 баллов",,,,,
"3- 2000, 4 балла",,,,,
"4- 1500, 3 балла",,,,,
"5- 1000, 2 балла",,,,,
"6- 700, 1 балл",,,,,
National Tournament (общее требование ко всем трём гонкам),,,,,
"1- 10 000, 15 баллов",,,,,
"2- 8000,   12 баллов",,,,,
"3- 6500,   10 баллов",,,,,
"4- 5200,   7 баллов",,,,,
"5- 4100,  5 баллов",,,,,
"6- 3300,   3 баллов",,,,,
World series,,,,,
Гонка за корону,,,,,
"1- корона, 5000",,,,,
2 - 3800,,,,,
3 - 2500,,,,,
4 - 1000,,,,,
5- 500,,,,,
6-0,,,,,
Bonus Track,,,,,
1-5000 +2 приза,,,,,
2-4500+1 приз,,,,,
3-3000+1 приз,,,,,
4-1500+1 приз,,,,,
5-приз,,,,,
6-1500,,,,,
Главная гонка,,,,,
1- 13 500,,,,,
2- 11 000,,,,,
3- 10 000,,,,,
4- 8500,,,,,
5- 7000,,,,,
6- 5000,,,,,
ТУРНИР,,,,,
"1- 15 000, 25 баллолв",,,,,
"2- 13 000, 20 баллов",,,,,
"3- 12 500, 15 баллов",,,,,
"4- 12 000, 11 баллов",,,,,
"5- 11 500, 8 баллов",,,,,
"6- 10 000, 5 баллов",,,,,